problem type;benchmark set;filename;number of orders;capacity;random seed;policy;opt?;UB;LB;time [s]
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-4.txt;20;45;4;traversal;true;2.932;2.932;222,369
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-5.txt;20;45;5;optimal;true;2.824;2.823,67;11,552
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-5.txt;20;45;5;largest_gap;true;2.988;2.988;730,986
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-5.txt;20;45;5;traversal;true;3.161;3.161;11,428
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-6.txt;20;45;6;optimal;true;2.326;2.325,94;26,764
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-6.txt;20;45;6;largest_gap;true;2.454;2.453,57;205,233
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-6.txt;20;45;6;traversal;true;2.700;2.699,53;2656,23
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-7.txt;20;45;7;optimal;true;2.064;2.063,57;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-7.txt;20;45;7;largest_gap;true;2.213;2.213;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-7.txt;20;45;7;traversal;true;2.296;2.295,67;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-8.txt;20;45;8;optimal;true;2.808;2.808;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-8.txt;20;45;8;largest_gap;true;3.028;3.028;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-8.txt;20;45;8;traversal;true;3.091;3.091;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-9.txt;20;45;9;optimal;true;2.343;2.342,86;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-9.txt;20;45;9;largest_gap;true;2.580;2.579,65;3600
OrderBatching;HENN;Instances_class-based\Instances_S-Shape\SS_O20_C45\22s-20-45-9.txt;20;45;9;traversal;true;2.587;2.587;3600
