;;;traversal;traversal;traversal;traversal;traversal;traversal;traversal;traversal;return;return;return;return;return;return;return;return;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;midpoint;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;largest gap;combined;combined;combined;combined;combined;combined;combined;combined;optimal;optimal;optimal;optimal;optimal;optimal;optimal;optimal
;;;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2;;;BPC;BPC;SC-2;SC-2;BPC-DF-2;BPC-DF-2
capacity;numOrders;instNum;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime;BKS;BKS_is_opt;LB tree;runtime;UB;runtime;UB;runtime
36;100;5;2016.6;True;2016.6;424.43;2104.2;120;2019.4;120;2574.2;True;2574.2;3391.96;2598.2;120;2582.2;120;2144.8;True;2144.8;321.35;2149.8;120;2156.2;120;2068.6;True;2068.6;1466.22;2119.6;120;2071.4;120;1955;True;1955;465.21;1985.6;120;1961;120;1922;True;1922;457.23;1924;98.04;1929.8;120
36;100;6;2100.4;True;2100.4;2393.42;2123.4;120;2114.6;120;2678.2;True;2678.2;3271.18;2708;119.37;2684.2;120;2172.2;True;2172.2;1405.68;2182.2;120;2184.2;120;2097.4;True;2097.4;2702.52;2137.2;120;2112.4;120;2023.8;False;2016.79;TL;2144.8;120;2030;120;1977.4;False;1969.8;TL;2026.2;120;1982.2;120
36;100;7;2004.4;True;2004.4;1670.3;2023;120;2021.4;120;2524.6;True;2524.6;887.07;2560.8;118.91;2534.6;120;2151.2;True;2151.2;201.78;2153.2;28.57;2152.2;120;2049.2;True;2049.2;1717.75;2055.2;120;2050.2;120;1941.4;True;1941.4;1928.81;1974.2;120;1945.4;120;1908.8;True;1908.8;635.96;1932.2;120;1925.8;120
36;100;8;1987;True;1987;1013.21;1993;95.37;1991;120;2504.8;True;2504.8;2514.53;2565.6;118.49;2517.2;120;2136.6;False;2136.08;TL;2156.4;120;2145.4;120;2027.6;True;2027.6;1143.7;2049.2;120;2030.6;120;1928.8;False;1927.85;TL;1957.8;120;1928.8;120;1883.2;True;1883.2;680.05;1888.2;109.74;1893;120
36;100;9;2030.6;True;2030.6;3035.4;2062.4;120;2038.6;120;2553.6;False;2553;TL;2611.4;119.29;2567.8;120;2169.8;True;2169.8;3538.32;2174.8;107.54;2176;120;2070.8;True;2070.8;590.65;2113.8;120;2078;120;1954.6;False;1950.63;TL;1976.8;120;1967.8;120;1921;False;1918.28;TL;1934;120;1929;120
36;100;10;2036.4;True;2036.4;202.89;2036.4;22.77;2058;120;2587.8;True;2587.8;2063.53;2602.6;118.65;2590;120;2181;True;2181;616.44;2187;120;2181;120;2089.4;True;2089.4;1756.18;2101.4;120;2089.4;120;1983.4;False;1980.63;TL;2001.4;120;1989.4;120;1933.4;True;1933.4;1316.94;1946.4;120;1944.4;120
36;150;1;2947;False;2938.4;TL;3096.2;120;2972.6;120;3703.4;False;3696.66;TL;3853.6;120;3717.6;120;3077.4;False;3071.99;TL;3194.4;120;3077.4;120;2954.6;True;2954.6;1400.74;2969.6;120;2970.6;120;2822.8;False;2814.6;TL;2865.4;120;2838.8;120;2774.8;False;2764.59;TL;2861.2;120;2801.8;120
36;150;2;2892.6;True;2892.6;605;3034;120;2899;120;3718;False;3717.23;TL;3782.8;120;3722.8;120;3088.2;False;3081.8;TL;3198.2;120;3091;120;2950.8;False;2939.03;TL;3082.4;120;2951.2;120;2807;False;2798.92;TL;2918.4;120;2812;120;2764.2;False;2748.81;TL;2881;120;2764.2;120
36;150;3;2903.2;False;2895.54;TL;3022.4;120;2909.4;120;3681.4;True;3681.4;965.89;3690;120;3696.6;120;3108.8;False;3093.82;TL;3221.6;120;3114.6;120;2979.2;False;2966.25;TL;3100.4;120;2996.6;120;2806.4;False;2803.09;TL;2902.2;120;2810.6;120;2764.8;False;2752.7;TL;2875.2;120;2782.8;120
36;150;4;2926.6;False;2916.75;TL;3057.6;120;2938.4;120;3719;False;3718.44;TL;3850.2;120;3725.2;120;3068.4;False;3057.61;TL;3195;120;3082.4;120;2949.4;False;2941.36;TL;3040;120;2975.8;120;2818.4;False;2812.2;TL;2907.2;120;2826.6;120;2759.8;False;2747.84;TL;2857;120;2774.8;120
